IdElement;NomElement;Superficie;Habitants2018;Habitants2019;Habitants2020;Habitatges2018;Habitatges2019;Habitatges2020;SuperficieKm2;HabitantsPerKm2_2018;HabitantsPerKm2_2019;HabitantsPerKm2_2020
ABS_09;Pubilla Cases;623772;30300;31313;30906;11591;11590;11591;0,623772;48575;50199;49547
ABS_01;Centre;1752781;29144;30040;29893;12971;13169;13343;1,752781;16627;17138;17055
ABS_02;Sant Josep;1193934;23025;23461;22993;9657;9666;9981;1,193934;19285;19650;19258
ABS_07;Florida nord;261288;22340;23124;23006;8156;8160;8161;0,261288;85500;88500;88048
ABS_03;Collblanc;513522;26096;26920;26638;10674;10696;10697;0,513522;50818;52422;51873
ABS_04;La Torrassa;436894;27142;28407;28038;10702;10726;10730;0,436894;62125;65020;64176
ABS_12;Bellvitge;2802656;24842;25082;24678;10082;10083;10083;2,802656;8864;8949;8805
ABS_05;Santa Eulàlia nord;604575;20054;20674;20333;8536;8683;8677;0,604575;33170;34196;33632
ABS_06;Santa Eulàlia sud;742985;24160;24885;24449;10265;10262;10396;0,742985;32517;33493;32906
ABS_10;Can Serra;287406;10159;10281;10042;4204;4205;4211;0,287406;35347;35772;34940
ABS_08;Florida sud;539461;23770;24381;24169;8661;8661;8664;0,539461;44062;45195;44802
ABS_11;Gornal;2740216;8868;9198;9175;3830;3925;3985;2,740216;3236;3357;3348
