IdElement;NomElement;Superficie;Poblacio00-02;Poblacio03-11;Poblacio12-15;Poblacio16-17;Poblacio18-24;Poblacio25-34;Poblacio35-49;Poblacio50-64;Poblacio65-74;Poblacio75 i +;PoblacioTotal;SuperficieKm2;PoblacioPerKm2
BAR_04;La Torrassa;436762;736;2400;1022;491;2353;4629;7224;5039;1656;2488;28038;0,436762;64195
BAR_01;Centre;1877526;634;2257;1070;487;1707;3121;6552;5113;2884;2783;26608;1,877526;14172
BAR_12;Bellvitge;2854703;438;1884;966;475;1628;2472;5417;4497;2934;3967;24678;2,854703;8645
BAR_02;Sanfeliu;508397;132;497;246;108;417;796;1496;1268;834;735;6529;0,508397;12842
BAR_16;Granvia Sud;2028601;;;;;;;;;;;;2,028601;0
BAR_03;Sant Josep;573587;377;1487;740;349;1401;2200;4578;4025;2399;2193;19749;0,573587;34431
BAR_11;El Gornal;422945;136;577;286;152;513;705;1616;1436;760;673;6854;0,422945;16205
BAR_10;Pubilla Cases;643410;831;2771;1226;574;2563;4688;7821;5453;1964;3015;30906;0,64341;48035
BAR_05;Collblanc;513036;641;2194;976;488;2145;4255;6660;4794;1967;2518;26638;0,513036;51922
BAR_06;Santa Eulàlia;1632316;1103;4181;1861;899;3145;5986;12053;8797;5018;4060;47103;1,632316;28857
BAR_08;Les Planes;422567;459;1504;654;335;1444;2571;3920;3215;1302;1521;16925;0,422567;40053
BAR_07;La Florida;378717;795;2691;1152;550;2546;4433;7392;5359;2184;3148;30250;0,378717;79875
BAR_09;Can Serra;287513;183;685;307;158;650;1105;2132;1830;1435;1557;10042;0,287513;34927
