DataPadro;AreaBasicaSalut;NomArea;Habitants;Habitatges;IdAreaSalut
31/12/2020;2;Sant Josep;22993;9981;ABS_02
31/12/2020;8;Florida Sud;24169;8664;ABS_08
31/12/2020;3;Collblanc;26638;10697;ABS_03
31/12/2020;1;Centre;29893;13343;ABS_01
31/12/2020;5;Santa Eulàlia Nord;20333;8677;ABS_05
31/12/2020;6;Santa Eulàlia Sud;24449;10396;ABS_06
31/12/2020;9;Pubilla Cases;30906;11591;ABS_09
31/12/2020;11;Gornal;9175;3985;ABS_11
31/12/2020;7;Florida Nord;23006;8161;ABS_07
31/12/2020;4;Torrassa;28038;10730;ABS_04
31/12/2020;10;Can Serra;10042;4211;ABS_10
31/12/2020;12;Bellvitge;24678;10083;ABS_12
