DataPadro,AreaBasicaSalut,NomArea,Habitants,Habitatges
31/05/2018,4,Torrassa            ,26757,10665
31/05/2018,1,Centre              ,28862,12871
31/05/2018,9,Pubilla Cases       ,29959,11574
31/05/2018,12,Bellvitge           ,24735,10076
31/05/2018,7,Florida Nord        ,21915,8136
31/05/2018,3,Collblanc           ,25943,10628
31/05/2018,5,Santa Eulàlia Nord  ,19808,8499
31/05/2018,6,Santa Eulàlia Sud   ,23973,10187
31/05/2018,8,Florida Sud,23380,8640
31/05/2018,2,Sant Josep,22883,9641
31/05/2018,11,Gornal,8742,3736
31/05/2018,10,Can Serra,10140,4200
31/05/2018,0,,3,0
30/06/2018,3,Collblanc,25827,10661
30/06/2018,5,Santa Eulàlia Nord,19834,8525
30/06/2018,1,Centre,28826,12910
30/06/2018,4,Torrassa,26694,10705
30/06/2018,11,Gornal,8745,3740
30/06/2018,12,Bellvitge,24697,10082
30/06/2018,8,Florida Sud,23342,8659
30/06/2018,7,Florida Nord,21933,8155
30/06/2018,9,Pubilla Cases,29911,11590
30/06/2018,0,,3,0
30/06/2018,10,Can Serra,10095,4202
30/06/2018,2,Sant Josep,22843,9659
30/06/2018,6,Santa Eulàlia Sud,23918,10213
31/07/2018,9,Pubilla Cases,30000,11591
31/07/2018,8,Florida Sud,23461,8659
31/07/2018,1,Centre,28893,12912
31/07/2018,4,Torrassa,26771,10704
31/07/2018,6,Santa Eulàlia Sud,24008,10213
31/07/2018,2,Sant Josep,22899,9659
31/07/2018,10,Can Serra,10134,4202
31/07/2018,11,Gornal,8787,3740
31/07/2018,0,,3,0
31/07/2018,12,Bellvitge,24713,10082
31/07/2018,3,Collblanc,25873,10661
31/07/2018,7,Florida Nord,21997,8155
31/07/2018,5,Santa Eulàlia Nord,19873,8536
31/08/2018,9,Pubilla Cases,30240,11591
31/08/2018,0,,3,0
31/08/2018,8,Florida Sud,23687,8659
31/08/2018,3,Collblanc,26110,10661
31/08/2018,4,Torrassa,26999,10704
31/08/2018,1,Centre,29055,12912
31/08/2018,12,Bellvitge,24822,10082
31/08/2018,10,Can Serra,10177,4202
31/08/2018,5,Santa Eulàlia Nord,19989,8536
31/08/2018,6,Santa Eulàlia Sud,24136,10213
31/08/2018,11,Gornal,8832,3740
31/08/2018,7,Florida Nord,22195,8155
31/08/2018,2,Sant Josep,23001,9659
30/09/2018,4,Torrassa,26956,10704
30/09/2018,11,Gornal,8836,3830
30/09/2018,0,,3,0
30/09/2018,12,Bellvitge,24774,10082
