IdSeccio;Poblacio00-02;Poblacio03-11;Poblacio12-15;Poblacio16-17;Poblacio18-24;Poblacio25-34;Poblacio35-49;Poblacio50-64;Poblacio65-74;Poblacio75 i +;PoblacioTotal
SEC_101;49;138;74;43;108;196;441;384;146;106;1685
SEC_102;31;92;56;34;102;125;293;283;194;267;1477
SEC_103;23;75;22;10;61;100;202;160;76;97;826
SEC_104;22;84;41;14;63;95;239;192;71;107;928
SEC_105;25;84;56;25;63;142;267;214;157;106;1139
SEC_106;19;122;46;27;102;159;362;344;291;150;1622
SEC_107;37;117;53;39;111;185;384;276;179;197;1578
SEC_108;38;129;55;14;120;201;345;294;138;132;1466
SEC_109;17;89;34;17;80;133;237;248;144;127;1126
SEC_110;22;77;33;19;61;111;255;189;182;167;1116
SEC_111;10;49;32;9;58;79;169;170;87;130;793
SEC_112;40;117;52;34;131;217;398;319;204;141;1653
SEC_113;32;155;75;29;101;233;433;323;255;132;1768
SEC_114;26;110;41;29;96;143;349;295;177;213;1479
SEC_115;20;103;47;24;98;160;323;246;152;123;1296
SEC_116;28;108;50;28;115;146;318;277;191;205;1466
SEC_117;48;122;73;26;124;191;404;425;254;189;1856
SEC_118;25;120;77;26;93;182;338;288;278;156;1583
SEC_119;16;71;41;14;59;113;257;213;218;200;1202
SEC_120;30;120;58;29;128;228;353;395;225;124;1690
SEC_121;24;81;34;16;75;106;237;193;45;89;900
SEC_122;27;102;37;22;62;114;246;157;59;148;974
SEC_123;22;94;35;26;92;166;265;289;138;155;1282
SEC_124;20;59;43;16;42;136;190;170;90;93;859
SEC_125;29;117;77;28;106;176;386;314;182;154;1569
SEC_126;15;71;33;21;81;106;238;154;124;172;1015
SEC_127;13;53;36;15;48;99;178;188;60;69;759
SEC_128;26;87;45;15;58;145;307;175;93;107;1058
SEC_129;18;84;38;24;81;125;258;204;97;164;1093
SEC_130;24;90;44;16;65;116;269;221;61;151;1057
SEC_131;28;103;47;15;69;142;302;232;208;154;1300
SEC_132;61;185;81;30;128;343;582;499;268;210;2387
SEC_133;23;70;35;13;55;120;209;174;103;94;896
SEC_134;34;122;59;30;106;162;331;275;125;141;1385
SEC_135;30;121;38;24;95;191;335;309;187;154;1484
SEC_136;24;104;47;25;86;138;315;219;140;117;1215
SEC_137;30;108;73;28;114;152;318;312;160;144;1439
SEC_138;16;56;23;9;53;78;161;163;115;101;775
SEC_139;15;51;34;15;84;108;201;187;110;91;896
SEC_140;25;96;40;21;85;129;250;220;87;109;1062
SEC_141;81;305;141;45;66;126;681;216;46;25;1732
SEC_201;64;194;67;33;96;259;532;234;91;112;1682
SEC_202;56;151;66;22;162;315;504;327;118;143;1864
SEC_204;45;140;63;24;147;250;426;297;120;163;1675
SEC_205;16;62;34;20;91;168;193;208;94;111;997
SEC_207;45;146;61;36;160;295;491;388;146;156;1924
SEC_208;25;90;41;22;121;251;326;307;209;313;1705
SEC_209;24;76;35;23;94;196;265;238;66;112;1129
SEC_210;12;60;33;20;74;108;194;157;94;120;872
SEC_211;42;132;45;23;137;260;411;245;64;118;1477
SEC_212;38;129;60;23;143;264;387;254;103;120;1521
SEC_213;31;88;39;28;82;166;261;178;88;97;1058
SEC_214;64;210;92;45;201;395;640;433;121;176;2377
SEC_216;24;121;64;34;114;195;348;222;128;153;1403
SEC_217;48;123;44;34;119;242;394;292;124;115;1535
SEC_220;49;156;72;35;118;320;452;342;110;141;1795
SEC_221;57;162;69;39;184;337;518;377;139;199;2081
SEC_223;29;121;56;26;101;226;342;237;87;112;1337
SEC_224;27;120;57;20;104;209;319;244;94;94;1288
SEC_226;35;168;67;38;153;301;462;351;159;196;1930
SEC_228;50;207;95;48;198;388;649;396;122;219;2372
SEC_229;64;187;86;28;205;321;527;362;86;113;1979
SEC_231;44;141;49;20;145;218;376;255;64;106;1418
SEC_232;27;110;31;21;100;207;312;206;90;129;1233
SEC_233;27;100;43;15;84;188;290;180;41;84;1052
SEC_234;25;81;26;14;91;220;291;210;50;99;1107
SEC_236;20;86;45;12;68;169;246;196;74;132;1048
SEC_237;42;131;64;31;118;225;374;258;92;123;1458
SEC_238;28;85;41;18;79;185;269;164;69;90;1028
SEC_239;29;72;26;29;101;190;324;242;63;146;1222
SEC_240;50;166;75;32;146;330;463;344;115;163;1884
SEC_242;34;112;38;16;113;196;309;238;91;132;1279
SEC_243;37;121;65;31;131;263;406;353;94;173;1674
SEC_245;35;115;41;26;94;189;282;208;77;108;1175
SEC_246;33;111;57;33;101;206;364;204;78;107;1294
SEC_247;51;131;67;27;106;215;338;224;106;121;1386
SEC_248;26;105;49;18;119;231;328;242;85;111;1314
SEC_249;24;84;35;15;98;186;271;220;71;99;1103
SEC_301;18;101;60;29;73;171;311;254;137;255;1409
SEC_302;26;119;39;12;85;198;357;250;221;138;1445
SEC_303;36;122;58;26;102;172;411;258;171;275;1631
SEC_304;65;215;54;25;97;316;617;305;117;146;1957
SEC_305;30;109;65;26;132;227;373;372;199;129;1662
SEC_306;40;115;61;33;126;271;368;328;170;133;1645
SEC_307;19;92;37;15;63;141;261;236;246;190;1300
SEC_308;36;143;83;54;167;231;427;419;240;217;2017
SEC_309;36;125;55;23;76;162;391;215;104;85;1272
SEC_310;23;92;41;14;65;151;234;189;108;72;989
SEC_311;41;162;53;19;133;223;437;291;110;141;1610
SEC_312;39;134;63;19;126;294;524;343;156;214;1912
SEC_313;37;153;71;39;144;243;432;359;246;182;1906
SEC_314;49;208;80;38;130;309;584;498;273;170;2339
SEC_315;44;156;70;29;127;225;472;370;186;132;1811
SEC_316;37;137;54;29;112;274;409;427;444;169;2092
SEC_317;36;103;49;32;99;200;325;195;61;64;1164
SEC_318;11;51;27;19;58;87;145;194;100;84;776
SEC_319;44;160;102;46;126;193;474;355;157;101;1758
SEC_320;42;147;73;48;131;212;499;347;153;142;1794
SEC_321;38;133;76;37;159;274;419;479;380;237;2232
SEC_322;37;121;70;29;110;198;383;213;117;123;1401
SEC_323;30;155;87;41;137;189;436;362;263;123;1823
SEC_324;26;119;36;31;88;191;341;182;76;69;1159
SEC_325;27;118;67;33;127;182;375;382;218;291;1820
SEC_326;86;271;65;24;67;178;663;191;51;17;1613
SEC_327;26;102;54;22;87;149;277;269;185;77;1248
SEC_328;73;295;114;69;112;179;581;218;50;40;1731
SEC_329;51;223;97;38;86;146;527;296;79;44;1587
SEC_401;26;104;57;25;107;203;273;254;107;136;1292
SEC_402;31;87;36;14;63;160;217;169;56;99;932
SEC_403;24;108;37;22;86;172;291;227;114;193;1274
SEC_404;35;137;56;25;125;210;345;263;116;144;1456
SEC_405;51;165;63;26;190;278;483;342;117;235;1950
SEC_406;43;115;46;33;122;192;337;277;116;150;1431
SEC_407;26;106;45;20;118;178;274;198;63;115;1143
SEC_409;49;173;69;42;164;304;537;337;146;205;2026
SEC_410;35;129;55;27;154;204;366;334;177;268;1749
SEC_411;19;74;32;20;85;127;226;181;87;170;1021
SEC_412;45;110;57;29;134;220;374;293;180;234;1676
SEC_414;55;191;90;30;177;313;534;352;94;151;1987
