AnyPadro;Seccio;GrupEdat;Dones;Homes;Total;IdSeccio
2004;424;00-02;4;10;14;SEC_424
2004;120;18-24;72;81;153;SEC_120
2004;125;16-17;10;14;24;SEC_125
2004;119;12-15;17;23;40;SEC_119
2004;101;16-17;20;10;30;SEC_101
2004;304;50-64;116;97;213;SEC_304
2004;131;18-24;72;61;133;SEC_131
2004;110;18-24;57;53;110;SEC_110
2004;629;12-15;9;8;17;SEC_629
2004;303;18-24;47;47;94;SEC_303
2004;211;65-74;80;44;124;SEC_211
2004;409;00-02;7;7;14;SEC_409
2004;136;16-17;9;8;17;SEC_136
2004;230;00-02;14;6;20;SEC_230
2004;442;00-02;9;6;15;SEC_442
2004;311;65-74;84;54;138;SEC_311
2004;128;50-64;101;79;180;SEC_128
2004;622;25-34;78;93;171;SEC_622
2004;602;18-24;22;23;45;SEC_602
2004;620;35-49;58;62;120;SEC_620
2004;108;35-49;168;151;319;SEC_108
2004;102;16-17;17;14;31;SEC_102
2004;433;25-34;120;129;249;SEC_433
2004;306;50-64;144;130;274;SEC_306
2004;237;12-15;15;21;36;SEC_237
2004;241;50-64;51;51;102;SEC_241
2004;602;16-17;5;4;9;SEC_602
2004;202;16-17;7;3;10;SEC_202
2004;132;00-02;34;19;53;SEC_132
2004;504;12-15;9;14;23;SEC_504
2004;419;50-64;73;69;142;SEC_419
2004;408;25-34;72;86;158;SEC_408
2004;310;18-24;60;44;104;SEC_310
2004;229;00-02;7;11;18;SEC_229
2004;119;50-64;190;179;369;SEC_119
2004;207;50-64;62;57;119;SEC_207
2004;235;12-15;21;20;41;SEC_235
2004;618;35-49;67;65;132;SEC_618
2004;417;50-64;56;46;102;SEC_417
2004;522;75 i +;35;21;56;SEC_522
2004;318;35-49;120;108;228;SEC_318
2004;535;00-02;12;10;22;SEC_535
2004;626;00-02;11;14;25;SEC_626
2004;313;00-02;34;25;59;SEC_313
2004;114;25-34;157;143;300;SEC_114
2004;406;16-17;15;9;24;SEC_406
2004;421;16-17;6;5;11;SEC_421
2004;614;65-74;61;56;117;SEC_614
2004;320;50-64;102;97;199;SEC_320
2004;507;35-49;89;90;179;SEC_507
2004;503;16-17;14;8;22;SEC_503
2004;519;16-17;3;3;6;SEC_519
2004;217;35-49;78;89;167;SEC_217
2004;209;75 i +;86;53;139;SEC_209
2004;243;65-74;104;83;187;SEC_243
2004;537;18-24;58;66;124;SEC_537
2004;619;00-02;11;17;28;SEC_619
2004;509;35-49;92;99;191;SEC_509
2004;206;50-64;65;61;126;SEC_206
2004;130;65-74;93;69;162;SEC_130
2004;412;35-49;172;179;351;SEC_412
2004;122;00-02;13;13;26;SEC_122
2004;421;03-11;33;41;74;SEC_421
2004;611;35-49;166;198;364;SEC_611
2004;416;65-74;54;53;107;SEC_416
2004;210;35-49;72;84;156;SEC_210
2004;232;00-02;10;16;26;SEC_232
2004;310;16-17;6;11;17;SEC_310
2004;632;03-11;42;38;80;SEC_632
2004;613;03-11;39;35;74;SEC_613
2004;238;12-15;12;11;23;SEC_238
2004;126;16-17;8;8;16;SEC_126
2004;618;12-15;9;13;22;SEC_618
2004;411;25-34;74;73;147;SEC_411
2004;536;12-15;15;10;25;SEC_536
2004;419;12-15;13;13;26;SEC_419
2004;530;03-11;43;53;96;SEC_530
2004;631;35-49;89;91;180;SEC_631
2004;236;03-11;40;27;67;SEC_236
2004;627;75 i +;35;16;51;SEC_627
2004;201;25-34;51;58;109;SEC_201
2004;409;12-15;8;11;19;SEC_409
2004;525;50-64;81;70;151;SEC_525
2004;231;03-11;39;35;74;SEC_231
2004;239;00-02;13;10;23;SEC_239
2004;133;65-74;44;35;79;SEC_133
2004;414;50-64;68;65;133;SEC_414
2004;130;75 i +;63;44;107;SEC_130
2004;202;12-15;7;12;19;SEC_202
2004;312;65-74;73;65;138;SEC_312
2004;139;35-49;80;114;194;SEC_139
2004;419;75 i +;39;27;66;SEC_419
2004;618;75 i +;25;14;39;SEC_618
2004;114;12-15;21;13;34;SEC_114
2004;504;35-49;85;94;179;SEC_504
2004;611;65-74;87;103;190;SEC_611
2004;219;75 i +;86;49;135;SEC_219
2004;309;50-64;71;70;141;SEC_309
2004;426;75 i +;51;34;85;SEC_426
2004;618;50-64;68;55;123;SEC_618
2004;503;00-02;8;7;15;SEC_503
2004;129;25-34;130;123;253;SEC_129
2004;622;75 i +;42;15;57;SEC_622
2004;216;50-64;150;126;276;SEC_216
2004;631;00-02;10;8;18;SEC_631
2004;524;18-24;66;57;123;SEC_524
2004;211;50-64;73;77;150;SEC_211
2004;524;50-64;101;87;188;SEC_524
2004;322;25-34;158;171;329;SEC_322
2004;322;12-15;16;16;32;SEC_322
2004;438;00-02;7;14;21;SEC_438
2004;613;00-02;14;15;29;SEC_613
2004;438;25-34;82;88;170;SEC_438
2004;516;12-15;13;14;27;SEC_516
2004;111;35-49;95;86;181;SEC_111
2004;322;03-11;49;38;87;SEC_322
2004;238;35-49;90;103;193;SEC_238
2004;137;25-34;141;152;293;SEC_137
2004;432;65-74;62;63;125;SEC_432
2004;125;65-74;51;58;109;SEC_125
2004;107;16-17;14;13;27;SEC_107
2004;424;18-24;31;39;70;SEC_424
2004;237;03-11;43;37;80;SEC_237
2004;221;03-11;47;36;83;SEC_221
2004;630;16-17;9;7;16;SEC_630
2004;415;03-11;23;27;50;SEC_415
2004;607;25-34;80;109;189;SEC_607
2004;217;18-24;22;28;50;SEC_217
2004;236;75 i +;76;45;121;SEC_236
2004;241;12-15;22;14;36;SEC_241
2004;611;50-64;188;145;333;SEC_611
2004;301;00-02;49;44;93;SEC_301
2004;121;75 i +;63;37;100;SEC_121
2004;522;16-17;9;15;24;SEC_522
2004;624;50-64;171;158;329;SEC_624
2004;502;03-11;41;45;86;SEC_502
2004;437;75 i +;34;19;53;SEC_437
2004;632;16-17;18;9;27;SEC_632
2004;533;03-11;36;23;59;SEC_533
2004;311;75 i +;88;49;137;SEC_311
2004;533;25-34;96;128;224;SEC_533
2004;108;75 i +;90;54;144;SEC_108
2004;133;16-17;12;7;19;SEC_133
2004;620;03-11;18;27;45;SEC_620
2004;518;18-24;39;55;94;SEC_518
2004;523;35-49;152;145;297;SEC_523
2004;603;35-49;55;56;111;SEC_603
2004;438;16-17;12;7;19;SEC_438
2004;506;03-11;65;72;137;SEC_506
2004;302;12-15;16;13;29;SEC_302
2004;535;25-34;69;84;153;SEC_535
2004;417;12-15;9;6;15;SEC_417
2004;617;12-15;24;17;41;SEC_617
2004;320;25-34;106;117;223;SEC_320
2004;608;65-74;69;55;124;SEC_608
2004;619;65-74;98;85;183;SEC_619
2004;116;18-24;70;58;128;SEC_116
2004;615;12-15;7;9;16;SEC_615
2004;618;65-74;22;25;47;SEC_618
2004;530;50-64;107;90;197;SEC_530
2004;130;25-34;101;99;200;SEC_130
2004;106;35-49;216;195;411;SEC_106
2004;138;03-11;25;19;44;SEC_138
2004;509;18-24;39;31;70;SEC_509
2004;119;35-49;125;115;240;SEC_119
2004;103;35-49;90;78;168;SEC_103
2004;239;12-15;19;21;40;SEC_239
2004;124;16-17;8;5;13;SEC_124
2004;324;12-15;13;18;31;SEC_324
2004;436;65-74;38;22;60;SEC_436
2004;226;75 i +;77;51;128;SEC_226
2004;203;03-11;24;36;60;SEC_203
2004;222;35-49;97;105;202;SEC_222
2004;244;75 i +;47;32;79;SEC_244
2004;431;65-74;73;65;138;SEC_431
2004;235;03-11;53;44;97;SEC_235
2004;221;12-15;24;22;46;SEC_221
2004;314;75 i +;92;44;136;SEC_314
2004;118;18-24;100;99;199;SEC_118
2004;506;25-34;147;150;297;SEC_506
2004;438;65-74;55;57;112;SEC_438
2004;243;16-17;13;12;25;SEC_243
2004;240;35-49;87;80;167;SEC_240
2004;617;18-24;44;43;87;SEC_617
2004;519;03-11;31;33;64;SEC_519
2004;112;12-15;29;44;73;SEC_112
2004;515;18-24;19;21;40;SEC_515
2004;315;00-02;18;20;38;SEC_315
2004;130;18-24;30;31;61;SEC_130
2004;315;35-49;191;174;365;SEC_315
2004;413;75 i +;38;21;59;SEC_413
2004;131;00-02;13;22;35;SEC_131
2004;324;50-64;68;77;145;SEC_324
2004;205;50-64;92;78;170;SEC_205
2004;438;50-64;83;70;153;SEC_438
2004;209;25-34;84;80;164;SEC_209
2004;203;65-74;44;39;83;SEC_203
2004;617;00-02;8;16;24;SEC_617
2004;140;35-49;91;97;188;SEC_140
2004;135;16-17;22;14;36;SEC_135
2004;426;00-02;18;20;38;SEC_426
2004;218;35-49;89;92;181;SEC_218
2004;127;03-11;25;26;51;SEC_127
2004;421;25-34;104;119;223;SEC_421
2004;502;25-34;151;159;310;SEC_502
2004;435;25-34;85;103;188;SEC_435
2004;125;12-15;30;21;51;SEC_125
2004;522;00-02;22;14;36;SEC_522
2004;513;75 i +;43;21;64;SEC_513
2004;302;00-02;7;20;27;SEC_302
2004;110;16-17;13;10;23;SEC_110
2004;216;18-24;68;60;128;SEC_216
2004;420;25-34;131;186;317;SEC_420
2004;504;65-74;86;87;173;SEC_504
2004;525;00-02;11;6;17;SEC_525
2004;603;50-64;78;61;139;SEC_603
2004;129;75 i +;41;20;61;SEC_129
2004;418;65-74;72;54;126;SEC_418
2004;202;50-64;63;64;127;SEC_202
2004;123;00-02;16;14;30;SEC_123
2004;124;18-24;46;43;89;SEC_124
2004;405;65-74;90;87;177;SEC_405
2004;609;12-15;19;7;26;SEC_609
2004;431;16-17;12;15;27;SEC_431
2004;231;16-17;6;7;13;SEC_231
2004;238;25-34;87;85;172;SEC_238
2004;233;16-17;8;8;16;SEC_233
2004;126;50-64;141;127;268;SEC_126
2004;538;16-17;9;7;16;SEC_538
2004;530;12-15;25;27;52;SEC_530
2004;134;75 i +;66;31;97;SEC_134
2004;405;03-11;21;25;46;SEC_405
2004;306;00-02;20;17;37;SEC_306
2004;407;65-74;76;58;134;SEC_407
2004;617;03-11;30;39;69;SEC_617
2004;225;75 i +;50;30;80;SEC_225
2004;427;16-17;6;8;14;SEC_427
2004;429;03-11;10;22;32;SEC_429
2004;535;35-49;103;105;208;SEC_535
2004;212;50-64;122;109;231;SEC_212
2004;217;00-02;9;9;18;SEC_217
2004;311;50-64;128;100;228;SEC_311
2004;132;03-11;70;83;153;SEC_132
2004;207;12-15;9;7;16;SEC_207
2004;244;35-49;77;88;165;SEC_244
2004;138;65-74;34;36;70;SEC_138
2004;119;03-11;25;32;57;SEC_119
2004;504;25-34;109;142;251;SEC_504
2004;429;00-02;5;8;13;SEC_429
2004;233;03-11;19;39;58;SEC_233
2004;507;00-02;11;12;23;SEC_507
2004;307;00-02;10;14;24;SEC_307
2004;411;75 i +;75;55;130;SEC_411
2004;110;12-15;15;25;40;SEC_110
2004;226;18-24;41;48;89;SEC_226
2004;110;25-34;112;134;246;SEC_110
2004;439;35-49;119;137;256;SEC_439
2004;525;65-74;75;55;130;SEC_525
2004;532;12-15;18;26;44;SEC_532
2004;617;16-17;6;8;14;SEC_617
2004;534;03-11;32;31;63;SEC_534
2004;526;12-15;11;19;30;SEC_526
2004;301;65-74;115;125;240;SEC_301
2004;503;18-24;42;53;95;SEC_503
2004;442;75 i +;32;22;54;SEC_442
2004;222;50-64;81;71;152;SEC_222
2004;431;25-34;162;219;381;SEC_431
2004;128;35-49;89;104;193;SEC_128
2004;610;35-49;99;98;197;SEC_610
2004;220;65-74;63;44;107;SEC_220
2004;619;75 i +;49;42;91;SEC_619
2004;406;75 i +;46;39;85;SEC_406
2004;521;65-74;59;58;117;SEC_521
2004;229;18-24;29;32;61;SEC_229
2004;521;18-24;45;45;90;SEC_521
2004;514;16-17;17;10;27;SEC_514
2004;314;16-17;20;24;44;SEC_314
2004;117;16-17;20;21;41;SEC_117
2004;132;50-64;207;223;430;SEC_132
2004;613;18-24;40;41;81;SEC_613
2004;440;25-34;85;96;181;SEC_440
2004;241;75 i +;61;31;92;SEC_241
2004;119;65-74;67;51;118;SEC_119
2004;429;25-34;39;56;95;SEC_429
2004;404;65-74;88;70;158;SEC_404
2004;424;50-64;61;50;111;SEC_424
2004;511;16-17;3;5;8;SEC_511
2004;613;12-15;11;16;27;SEC_613
2004;249;03-11;31;34;65;SEC_249
2004;510;75 i +;56;30;86;SEC_510
2004;510;25-34;86;106;192;SEC_510
2004;238;75 i +;74;32;106;SEC_238
2004;117;25-34;185;192;377;SEC_117
2004;127;35-49;110;110;220;SEC_127
2004;105;35-49;157;125;282;SEC_105
2004;115;50-64;119;128;247;SEC_115
2004;532;16-17;16;14;30;SEC_532
2004;138;75 i +;30;16;46;SEC_138
2004;528;03-11;46;43;89;SEC_528
2004;308;16-17;19;22;41;SEC_308
2004;117;00-02;22;29;51;SEC_117
2004;321;35-49;288;278;566;SEC_321
2004;137;75 i +;55;30;85;SEC_137
2004;113;12-15;31;32;63;SEC_113
2004;247;65-74;71;62;133;SEC_247
2004;503;12-15;10;18;28;SEC_503
2004;534;25-34;100;142;242;SEC_534
2004;239;25-34;95;134;229;SEC_239
2004;214;18-24;35;37;72;SEC_214
2004;627;12-15;12;25;37;SEC_627
2004;524;65-74;77;58;135;SEC_524
2004;126;00-02;16;14;30;SEC_126
2004;508;18-24;34;37;71;SEC_508
2004;113;25-34;126;140;266;SEC_113
2004;440;00-02;11;9;20;SEC_440
2004;509;00-02;8;12;20;SEC_509
2004;405;35-49;70;82;152;SEC_405
2004;245;03-11;39;33;72;SEC_245
2004;108;03-11;54;48;102;SEC_108
2004;441;16-17;32;27;59;SEC_441
2004;631;25-34;107;128;235;SEC_631
2004;615;25-34;83;92;175;SEC_615
2004;317;18-24;48;54;102;SEC_317
2004;310;35-49;102;105;207;SEC_310
2004;121;25-34;84;84;168;SEC_121
2004;240;16-17;4;4;8;SEC_240
2004;608;16-17;7;8;15;SEC_608
2004;424;25-34;65;77;142;SEC_424
2004;138;00-02;7;6;13;SEC_138
2004;232;25-34;95;109;204;SEC_232
2004;513;50-64;67;52;119;SEC_513
2004;212;35-49;148;160;308;SEC_212
2004;121;50-64;42;43;85;SEC_121
2004;620;00-02;1;7;8;SEC_620
2004;307;18-24;68;67;135;SEC_307
2004;227;16-17;1;2;3;SEC_227
2004;137;00-02;22;19;41;SEC_137
2004;246;03-11;31;40;71;SEC_246
2004;111;75 i +;47;33;80;SEC_111
2004;313;18-24;109;81;190;SEC_313
2004;129;35-49;117;116;233;SEC_129
2004;246;35-49;100;143;243;SEC_246
2004;524;16-17;10;13;23;SEC_524
2004;518;35-49;112;127;239;SEC_518
2004;205;35-49;89;98;187;SEC_205
2004;426;35-49;105;116;221;SEC_426
2004;319;00-02;33;26;59;SEC_319
2004;321;12-15;47;56;103;SEC_321
2004;429;75 i +;31;21;52;SEC_429
2004;621;16-17;14;14;28;SEC_621
2004;423;00-02;13;9;22;SEC_423
2004;215;25-34;83;87;170;SEC_215
2004;405;00-02;9;12;21;SEC_405
2004;608;75 i +;39;19;58;SEC_608
2004;216;75 i +;63;43;106;SEC_216
2004;210;50-64;95;80;175;SEC_210
2004;130;16-17;6;3;9;SEC_130
2004;608;25-34;73;89;162;SEC_608
2004;249;00-02;18;16;34;SEC_249
2004;442;25-34;50;65;115;SEC_442
