AnyPadro,CodiDistricte,Districte,CodiBarri,Barri,Seccio,GrupEdat,Dones,Homes,Total
1996,3,Districte III,6,Santa Eulàlia,322,03-11,45,48,93
1995,1,Districte I,1,Centre,111,35-49,119,102,221
2003,2,Districte II,5,Collblanc,212,50-64,125,115,240
1999,4,Districte IV,8,les Planes,438,18-24,39,38,77
1998,4,Districte IV,7,la Florida,423,00-02,6,10,16
2010,5,Districte V,10,Pubilla Cases,518,25-34,91,106,197
2014,4,Districte IV,7,la Florida,406,75 i +,79,63,142
2006,6,Districte VI,11,el Gornal,632,03-11,52,42,94
2009,6,Districte VI,12,Bellvitge,602,65-74,58,62,120
2016,6,Districte VI,12,Bellvitge,611,12-15,42,29,71
2014,2,Districte II,4,la Torrassa,211,75 i +,82,35,117
2014,3,Districte III,6,Santa Eulàlia,306,35-49,195,194,389
1999,1,Districte I,1,Centre,130,65-74,82,73,155
2001,2,Districte II,4,la Torrassa,240,00-02,7,11,18
1998,3,Districte III,6,Santa Eulàlia,315,65-74,51,33,84
2012,4,Districte IV,8,les Planes,401,75 i +,93,44,137
2012,2,Districte II,4,la Torrassa,242,75 i +,94,64,158
2012,5,Districte V,10,Pubilla Cases,529,03-11,63,52,115
2009,5,Districte V,10,Pubilla Cases,516,00-02,19,12,31
1996,4,Districte IV,8,les Planes,434,16-17,12,7,19
2000,5,Districte V,10,Pubilla Cases,520,25-34,76,69,145
2005,1,Districte I,3,Sant Josep,117,75 i +,63,37,100
1999,2,Districte II,4,la Torrassa,240,03-11,15,24,39
2004,4,Districte IV,7,la Florida,424,00-02,4,10,14
2012,2,Districte II,4,la Torrassa,233,75 i +,56,38,94
1999,1,Districte I,1,Centre,109,75 i +,46,23,69
2013,3,Districte III,6,Santa Eulàlia,310,00-02,17,11,28
2005,6,Districte VI,12,Bellvitge,609,00-02,12,9,21
2009,4,Districte IV,7,la Florida,408,00-02,27,14,41
2006,5,Districte V,10,Pubilla Cases,519,18-24,41,26,67
2003,1,Districte I,1,Centre,107,75 i +,73,29,102
2002,1,Districte I,1,Centre,135,35-49,185,172,357
1998,5,Districte V,10,Pubilla Cases,522,00-02,5,5,10
2013,1,Districte I,1,Centre,109,00-02,14,20,34
2015,1,Districte I,1,Centre,113,25-34,100,102,202
1997,3,Districte III,6,Santa Eulàlia,306,00-02,19,14,33
1995,1,Districte I,1,Centre,105,18-24,76,78,154
2011,6,Districte VI,12,Bellvitge,621,25-34,101,123,224
2009,6,Districte VI,12,Bellvitge,605,12-15,4,7,11
2014,1,Districte I,3,Sant Josep,127,00-02,20,8,28
2006,4,Districte IV,7,la Florida,416,75 i +,52,33,85
2015,2,Districte II,4,la Torrassa,217,12-15,16,28,44
2012,6,Districte VI,12,Bellvitge,623,12-15,19,27,46
2001,3,Districte III,6,Santa Eulàlia,314,03-11,80,109,189
2001,4,Districte IV,8,les Planes,433,50-64,71,73,144
2012,4,Districte IV,8,les Planes,435,65-74,35,25,60
2014,2,Districte II,5,Collblanc,210,18-24,27,25,52
1995,6,Districte VI,11,el Gornal,629,18-24,49,61,110
2007,1,Districte I,1,Centre,108,25-34,115,117,232
1996,4,Districte IV,8,les Planes,442,25-34,56,49,105
2005,2,Districte II,5,Collblanc,244,00-02,6,5,11
1999,2,Districte II,5,Collblanc,207,50-64,59,48,107
1995,1,Districte I,1,Centre,102,12-15,38,36,74
2008,6,Districte VI,11,el Gornal,626,18-24,34,25,59
2006,5,Districte V,10,Pubilla Cases,516,00-02,13,11,24
2002,4,Districte IV,8,les Planes,419,50-64,69,71,140
2011,2,Districte II,5,Collblanc,214,65-74,45,27,72
1997,4,Districte IV,8,les Planes,418,25-34,83,104,187
2006,4,Districte IV,7,la Florida,428,16-17,8,6,14
2013,1,Districte I,3,Sant Josep,106,12-15,21,21,42
2010,4,Districte IV,7,la Florida,407,00-02,17,28,45
1994,3,Districte III,6,Santa Eulàlia,303,18-24,150,155,305
2000,4,Districte IV,7,la Florida,409,12-15,8,10,18
2012,1,Districte I,1,Centre,102,75 i +,103,69,172
1994,1,Districte I,3,Sant Josep,120,75 i +,31,18,49
2001,2,Districte II,5,Collblanc,244,16-17,2,3,5
2010,4,Districte IV,7,la Florida,430,65-74,50,44,94
1996,1,Districte I,3,Sant Josep,115,18-24,70,119,189
2000,2,Districte II,4,la Torrassa,236,50-64,110,91,201
2004,1,Districte I,3,Sant Josep,120,18-24,72,81,153
1996,1,Districte I,1,Centre,102,03-11,53,58,111
2010,5,Districte V,10,Pubilla Cases,508,00-02,10,8,18
2002,6,Districte VI,12,Bellvitge,601,12-15,14,23,37
2011,6,Districte VI,12,Bellvitge,621,16-17,16,13,29
1996,4,Districte IV,8,les Planes,418,18-24,68,58,126
2009,1,Districte I,3,Sant Josep,125,35-49,207,237,444
2007,3,Districte III,6,Santa Eulàlia,309,18-24,27,29,56
2013,2,Districte II,5,Collblanc,204,75 i +,114,56,170
2014,2,Districte II,4,la Torrassa,238,50-64,66,63,129
2014,4,Districte IV,7,la Florida,409,16-17,12,18,30
2000,4,Districte IV,7,la Florida,427,18-24,54,43,97
1998,2,Districte II,4,la Torrassa,242,75 i +,48,46,94
2004,1,Districte I,3,Sant Josep,125,16-17,10,14,24
1999,4,Districte IV,7,la Florida,430,03-11,25,39,64
2013,1,Districte I,3,Sant Josep,127,35-49,101,100,201
2011,1,Districte I,1,Centre,111,65-74,66,49,115
2006,3,Districte III,6,Santa Eulàlia,322,25-34,161,166,327
1996,5,Districte V,10,Pubilla Cases,529,00-02,4,9,13
2016,5,Districte V,10,Pubilla Cases,531,12-15,19,14,33
2015,2,Districte II,5,Collblanc,216,50-64,110,100,210
1996,3,Districte III,6,Santa Eulàlia,302,65-74,47,44,91
2001,4,Districte IV,8,les Planes,429,75 i +,33,21,54
1998,2,Districte II,4,la Torrassa,243,35-49,137,125,262
1997,4,Districte IV,8,les Planes,439,25-34,102,103,205
2011,1,Districte I,3,Sant Josep,139,18-24,27,29,56
2008,1,Districte I,1,Centre,101,00-02,52,54,106
2013,1,Districte I,3,Sant Josep,119,65-74,101,97,198
2011,5,Districte V,10,Pubilla Cases,527,16-17,10,5,15
2005,2,Districte II,4,la Torrassa,246,18-24,56,43,99
2011,2,Districte II,5,Collblanc,226,25-34,104,116,220
2006,1,Districte I,3,Sant Josep,140,35-49,107,115,222
2005,6,Districte VI,12,Bellvitge,613,35-49,100,108,208
2005,4,Districte IV,8,les Planes,439,18-24,58,64,122
2012,3,Districte III,6,Santa Eulàlia,317,75 i +,58,19,77
2009,1,Districte I,1,Centre,110,35-49,119,102,221
2001,5,Districte V,9,Can Serra,506,25-34,152,182,334
2000,5,Districte V,9,Can Serra,535,12-15,32,28,60
1995,2,Districte II,5,Collblanc,244,18-24,31,24,55
1999,2,Districte II,5,Collblanc,208,25-34,120,145,265
2010,2,Districte II,5,Collblanc,203,35-49,113,115,228
1998,2,Districte II,4,la Torrassa,211,65-74,96,76,172
1995,4,Districte IV,7,la Florida,426,16-17,17,18,35
2012,4,Districte IV,7,la Florida,425,65-74,44,43,87
1998,5,Districte V,10,Pubilla Cases,528,00-02,10,11,21
1996,5,Districte V,10,Pubilla Cases,514,65-74,33,34,67
2012,5,Districte V,10,Pubilla Cases,509,12-15,20,20,40
1997,4,Districte IV,7,la Florida,424,03-11,16,11,27
2001,2,Districte II,5,Collblanc,213,25-34,73,84,157
1996,1,Districte I,3,Sant Josep,114,03-11,62,42,104
2015,5,Districte V,10,Pubilla Cases,528,16-17,13,8,21
1995,4,Districte IV,7,la Florida,408,25-34,82,93,175
2007,4,Districte IV,7,la Florida,409,12-15,10,11,21
1995,5,Districte V,9,Can Serra,503,65-74,23,19,42
1995,3,Districte III,6,Santa Eulàlia,314,03-11,123,164,287
2012,1,Districte I,1,Centre,131,50-64,165,143,308
1995,1,Districte I,3,Sant Josep,136,18-24,52,70,122
1998,4,Districte IV,7,la Florida,426,00-02,10,10,20
2014,5,Districte V,9,Can Serra,507,03-11,38,39,77
2008,5,Districte V,10,Pubilla Cases,517,50-64,89,79,168
2013,1,Districte I,2,Sanfeliu,129,12-15,13,28,41
1996,2,Districte II,4,la Torrassa,217,16-17,4,7,11
2003,5,Districte V,10,Pubilla Cases,509,12-15,8,12,20
2005,5,Districte V,10,Pubilla Cases,530,18-24,58,67,125
1995,3,Districte III,6,Santa Eulàlia,315,18-24,93,78,171
1997,2,Districte II,4,la Torrassa,231,25-34,96,81,177
2009,3,Districte III,6,Santa Eulàlia,311,50-64,115,95,210
2008,4,Districte IV,7,la Florida,414,03-11,40,37,77
2000,3,Districte III,6,Santa Eulàlia,313,25-34,151,143,294
1997,2,Districte II,5,Collblanc,224,16-17,8,6,14
1994,6,Districte VI,11,el Gornal,608,25-34,78,89,167
2004,1,Districte I,3,Sant Josep,119,12-15,17,23,40
1997,2,Districte II,5,Collblanc,206,03-11,30,28,58
2010,3,Districte III,6,Santa Eulàlia,310,00-02,14,14,28
2013,2,Districte II,4,la Torrassa,231,35-49,157,185,342
2011,5,Districte V,10,Pubilla Cases,524,35-49,157,190,347
2000,4,Districte IV,8,les Planes,437,25-34,65,87,152
1996,5,Districte V,9,Can Serra,503,25-34,70,54,124
2012,2,Districte II,5,Collblanc,209,12-15,16,13,29
1994,1,Districte I,1,Centre,112,50-64,118,105,223
2011,1,Districte I,1,Centre,107,03-11,71,81,152
1999,1,Districte I,3,Sant Josep,121,50-64,61,42,103
1994,4,Districte IV,8,les Planes,435,03-11,42,56,98
2007,2,Districte II,4,la Torrassa,217,35-49,81,106,187
2010,1,Districte I,3,Sant Josep,140,50-64,81,76,157
1995,2,Districte II,5,Collblanc,221,35-49,98,103,201
2010,3,Districte III,6,Santa Eulàlia,307,12-15,14,15,29
2002,4,Districte IV,7,la Florida,423,75 i +,51,27,78
2014,3,Districte III,6,Santa Eulàlia,319,03-11,95,112,207
2014,5,Districte V,10,Pubilla Cases,533,25-34,142,148,290
2005,3,Districte III,6,Santa Eulàlia,316,00-02,16,14,30
2004,1,Districte I,1,Centre,101,16-17,20,10,30
2014,3,Districte III,6,Santa Eulàlia,323,25-34,99,116,215
1995,2,Districte II,4,la Torrassa,246,50-64,110,102,212
2009,6,Districte VI,12,Bellvitge,619,50-64,140,124,264
2002,4,Districte IV,7,la Florida,430,12-15,9,16,25
2009,6,Districte VI,12,Bellvitge,612,18-24,27,32,59
2012,5,Districte V,10,Pubilla Cases,526,16-17,3,5,8
2005,3,Districte III,6,Santa Eulàlia,306,16-17,16,11,27
1999,5,Districte V,10,Pubilla Cases,515,75 i +,26,13,39
2016,4,Districte IV,7,la Florida,410,35-49,171,161,332
2008,3,Districte III,6,Santa Eulàlia,319,75 i +,44,29,73
1994,6,Districte VI,12,Bellvitge,631,03-11,51,35,86
2000,5,Districte V,10,Pubilla Cases,511,75 i +,41,15,56
2008,2,Districte II,4,la Torrassa,229,18-24,34,40,74
1996,4,Districte IV,8,les Planes,433,35-49,81,81,162
1998,3,Districte III,6,Santa Eulàlia,302,16-17,17,20,37
2010,2,Districte II,4,la Torrassa,243,25-34,125,114,239
2009,5,Districte V,10,Pubilla Cases,534,16-17,13,9,22
2003,2,Districte II,5,Collblanc,214,65-74,40,36,76
2008,6,Districte VI,12,Bellvitge,625,16-17,11,11,22
1997,1,Districte I,1,Centre,103,75 i +,43,24,67
2009,4,Districte IV,7,la Florida,430,25-34,115,133,248
