Id,Nom,Adreça,Municipi,Capacitat,Plens,Buits,Coordenades,DataHoraActualitzacio
61,061 METRO L1 - R. Just Oliveras - Renfe,"Avinguda de Josep Tarradellas i Joan, 192B - Rambla de Just Oliveras",L'Hospitalet de Llobregat,52,5,2,"(41.363944, 2.099499)",21/01/2021 02:00:04 PM
71,071 Poliesportiu municipal Santa Eulàlia,"Carrer Jacint Verdaguer, 17",L'Hospitalet de Llobregat,43,4,3,"(41.366132, 2.12815)",21/01/2021 02:00:04 PM
74,074 Poliesportiu Municipal 'Sergio Manzano',"Avinguda Mare de Déu de Bellvitge, 7",L'Hospitalet de Llobregat,131,13,1,"(41.348649, 2.10636)",21/01/2021 02:00:04 PM
174,174 Poliesportiu municipal Sanfeliu,"Carrer Estronci, 42",L'Hospitalet de Llobregat,43,4,3,"(41.369036, 2.088797)",21/01/2021 02:00:04 PM
68,068 FGC- Ildefons Cerdà,Avinguda de la Granvia - Carrer Alhambra,L'Hospitalet de Llobregat,140,14,0,"(41.361072, 2.130076)",21/01/2021 02:00:04 PM
173,173 Poliesportiu L'H Nord,"Avinguda Manuel Azaña, 23",L'Hospitalet de Llobregat,43,4,3,"(41.378463, 2.1022)",21/01/2021 02:00:04 PM
62,062 Poliesportiu Municipal del Centre,"Carrer Riera de l'Escorxador, 15",L'Hospitalet de Llobregat,104,10,4,"(41.360778, 2.096361)",21/01/2021 02:00:04 PM
76,076 METRO L1 - Bellvitge,"Rambla de la Marina, 211",L'Hospitalet de Llobregat,95,9,5,"(41.351098, 2.110512)",21/01/2021 02:00:04 PM
184,184 ICO,"Avinguda de la Granvia, 203",L'Hospitalet de Llobregat,34,3,4,"(41.345584, 2.110361)",21/01/2021 02:00:04 PM
182,182 FGC - Europa / Fira,Avinguda Granvia - Carrer Amadeu Torner,L'Hospitalet de Llobregat,131,13,1,"(41.357275, 2.124374)",21/01/2021 02:00:04 PM
60,060 FGC L'Hospitalet- Av. Carrilet,"Avinguda Carrilet, 314 - Rambla de la Marina",L'Hospitalet de Llobregat,104,10,4,"(41.357883, 2.102444)",21/01/2021 02:00:04 PM
172,172 FGC - Sant Josep,Avinguda del Carrilet - Carrer Mestre Candi,L'Hospitalet de Llobregat,95,9,5,"(41.360707, 2.109863)",21/01/2021 02:00:04 PM
207,207 METRO L5 - Collblanc,"Carretera de Collblanc, 59",L'Hospitalet de Llobregat,121,12,1,"(41.37571, 2.118114)",21/01/2021 02:00:04 PM
186,186 METRO L5 - Pubilla Cases,"Avinguda Isabel la Católica, 113",L'Hospitalet de Llobregat,122,12,2,"(41.372919, 2.105858)",21/01/2021 02:00:04 PM
211,211 Av. Mare de Déu de Bellvitge,"Carrer de la Residència, 5",L'Hospitalet de Llobregat,95,9,5,"(41.347319, 2.107319)",21/01/2021 02:00:04 PM
228,228 Metropolitan l'Hospitalet,"Avinguda de la Granvia de l'Hospitalet, 138-142",L'Hospitalet de Llobregat,104,10,4,"(41.346212, 2.109815)",21/01/2021 02:00:04 PM
233,233 Centre Cultural Bellvitge-Gornal,"Avinguda d'Amèrica, 57-59",L'Hospitalet de Llobregat,131,13,1,"(41.351018, 2.1138)",21/01/2021 02:00:04 PM
212,212 Metro L5- Can Boixeres,Carrer del Rubidi - Carrer de l'Estronci,L'Hospitalet de Llobregat,52,5,2,"(41.366007, 2.090511)",21/01/2021 02:00:04 PM
75,075 METRO L1 - Hospital de Bellvitge,Hospital de Bellvitge,L'Hospitalet de Llobregat,122,12,2,"(41.344314, 2.105792)",21/01/2021 02:00:04 PM
206,206 Hospital Bellvitge-Urgencies,"Carrer de la Residència, 15",L'Hospitalet de Llobregat,122,12,2,"(41.346395, 2.103111)",21/01/2021 02:00:04 PM
63,063 Poliesportiu Piscines L'H,"Carrer Rosalia de Castro, 39 - Avinguda de Josep Tarradellas i Joan",L'Hospitalet de Llobregat,52,5,2,"(41.36581, 2.116338)",21/01/2021 02:00:04 PM
225,225 Ciutat de la Justicía - Granvia,"Avinguda de la Gran Via de l’Hospitalet, 120",L'Hospitalet de Llobregat,104,10,4,"(41.3635, 2.133583)",21/01/2021 02:00:04 PM
185,185 METRO L1 La Torrassa,Avinguda Torrent Gornal - Carrer Montseny,L'Hospitalet de Llobregat,131,13,1,"(41.368564, 2.11681)",21/01/2021 02:00:04 PM
205,205 METRO L1 - Santa Eulalia,"Carrer de Santiago Ramón y Cajal, 2",L'Hospitalet de Llobregat,34,3,4,"(41.368403, 2.127772)",21/01/2021 02:00:04 PM
183,183 Poliesportiu Municipal Fum d'Estampa,"Travessera de Collblanc, 22",L'Hospitalet de Llobregat,77,7,7,"(41.374788, 2.115705)",21/01/2021 02:00:04 PM
175,175 Ciutat de la Justícia,"Avinguda del Carrilet, 29 -  Carrer Aprestadora",L'Hospitalet de Llobregat,86,8,6,"(41.3648, 2.131011)",21/01/2021 02:00:04 PM
232,232 Metro L1 Av. Carrilet - Rbla. Marina,"Rambla de la Marina, 449",L'Hospitalet de Llobregat,131,13,1,"(41.359323, 2.102473)",21/01/2021 02:00:04 PM
78,078 Poliesportiu Gornal,"Carrer Can Tries, 20",L'Hospitalet de Llobregat,7,0,7,"(41.360516, 2.117983)",21/01/2021 02:00:04 PM
240,240 Plaça Alpi,"Av. Can Serra, 13",L'Hospitalet de Llobregat,43,4,3,"(41.364521, 2.099482)",21/01/2021 02:00:04 PM
