Id,Nom,Adreca,Telefon,Fax,CorreuElectronic,Barri,PaginaWeb,Coordenades,url_icona
99594,"Farmàcia de Vilarrubia Goula, Estel",C. Santa Eulàlia 0042,933314192,,,Santa Eulàlia,http://www.l-h.cat/directori/detallequipament.aspx?1C9188J9n0uSlo4TzzvppV1VmNBFM6painGF5jET7CUoqazB,"(41.3674187572299, 2.12916643056564)",http://www.l-h.cat/img/planol/ico_farm.gif
99588,"Farmàcia Gabarro Sole, Ramon",AV Isabel la Catòlica 0025,934386236,,,Can Serra,http://www.l-h.cat/directori/detallequipament.aspx?1C9188J9n0uQYbtyxBNDjhfS8njp5bIcG36VTdqdCiwsqazB,"(41.3661601093755, 2.10367990005332)",http://www.l-h.cat/img/planol/ico_farm.gif
99591,"Farmàcia Agusti Garcia-Navarro, Maria",RB Marina 204,933367602,,,Bellvitge,http://www.l-h.cat/directori/detallequipament.aspx?1C9188J9n0uQC849BSUXiXaiHtwnjC3XMuQr9N89bp4MqazB,"(41.3524765183615, 2.11164978238157)",http://www.l-h.cat/img/planol/ico_farm.gif
99592,"Farmàcia Oliveras Martín, Juan",CR Esplugues 26,934372059,,,Can Serra,http://www.l-h.cat/directori/detallequipament.aspx?1C9188J9n0uSTTzqazCysl6t5dcqt1efqazC0nsW5v2i1wxjZEqazB,"(41.3672839368013, 2.09650237790614)",http://www.l-h.cat/img/planol/ico_farm.gif
99596,"Farmàcia Hernández Fernández, Blasa José",C. Font 0018,933333038,,,La Florida,http://www.l-h.cat/directori/detallequipament.aspx?19mtfPIaQqazAFAoXWz1ZPqazCyzkkAtcKTeTlSQQ3YsejXzDQqazB,"(41.3722470889056, 2.11270805449928)",http://www.l-h.cat/img/planol/ico_farm.gif
99644,"Farmàcia Vilarroya Oliver, Nuria",RO Torrassa 0120,934311849,,,La Torrassa,http://www.l-h.cat/directori/detallequipament.aspx?1T9KNDqazCckSmpwfRJrUEh1qazAd1NqazC8nE2t6CMPdO9n8fCqazCQqazB,"(41.3694062751773, 2.122826542481)",http://www.l-h.cat/img/planol/ico_farm.gif
99603,"Farmàcia Melchor Peirats, Carlos",C. Llevant 0047,934490864,,,La Florida,http://www.l-h.cat/directori/detallequipament.aspx?19mtfPIaQqazAFBR1HDuhKNqazAt4tvSozOd8uQqazCqazAs9Xoml8okqazB,"(41.373151200928, 2.10964651767807)",http://www.l-h.cat/img/planol/ico_farm.gif
99612,"Farmàcia Navarro Suñer, Mª Gisela",AV Isabel la Catòlica 0073,934375111,,,Pubilla Casas,http://www.l-h.cat/directori/detallequipament.aspx?1hRnaF8vmNdmBumixqazA5EGASbPP9ZBc3Z0ONwDqazAAvyPPQqazB,"(41.3703753381314, 2.10364593621693)",http://www.l-h.cat/img/planol/ico_farm.gif
99614,Farmàcia Zabala de Oleza Rafael,C. Aprestadora 80,934326643,,,Santa Eulàlia,http://www.l-h.cat/directori/detallequipament.aspx?1hRnaF8vmNdmjeFFhQlhd7YD8rmNkdRDa6zRgsuxvZ4IqazB,"(41.3626283321361, 2.12699457054773)",http://www.l-h.cat/img/planol/ico_farm.gif
99593,"Farmàcia Palau Roig, Mª Elena",RB Marina 68,932634369,,,Bellvitge,http://www.l-h.cat/directori/detallequipament.aspx?1C9188J9n0uT0jAEN2qazCWk3Gp12fuzqCeXHSTrnMFAHHgqazB,"(41.3502322611585, 2.1126365947273)",http://www.l-h.cat/img/planol/ico_farm.gif
99639,"Farmàcia Balsells Turmo, Elia / Balsells Turmo, Marta",C. Santa Eulàlia 0097,933315698,,,Santa Eulàlia,http://www.l-h.cat/directori/detallequipament.aspx?1T9KNDqazCckSmrADL33td5trO5YsnN7KS9fReuPzJZ4Jt4qazB,"(41.3669010938082, 2.12623199024111)",http://www.l-h.cat/img/planol/ico_farm.gif
99576,"Farmàcia Beltran Capafons, Ana Mar",C. Llançà 0035,934496022,,,Collblanc,http://www.l-h.cat/directori/detallequipament.aspx?1wtKTJisdUeRpgmo0KVySmspW8Vq7Ik7bXZ7WLr0sx50qazB,"(41.3718518423063, 2.11753233670125)",http://www.l-h.cat/img/planol/ico_farm.gif
99632,"Farmàcia Tarres Torras, Antonio",AV Europa 0129,933353344,,,Bellvitge,http://www.l-h.cat/directori/detallequipament.aspx?1aaqb5VpN9r38pM6teUz7wY8VbyuWnUqazChsORbasAtqazCmwqazB,"(41.3546034790299, 2.11297170347062)",http://www.l-h.cat/img/planol/ico_farm.gif
