CodiBarri;Seccio;IdBarri;IdSeccio
1;101;BAR_01;SEC_101
1;102;BAR_01;SEC_102
1;103;BAR_01;SEC_103
1;104;BAR_01;SEC_104
1;105;BAR_01;SEC_105
3;106;BAR_03;SEC_106
1;107;BAR_01;SEC_107
1;108;BAR_01;SEC_108
1;109;BAR_01;SEC_109
1;110;BAR_01;SEC_110
1;111;BAR_01;SEC_111
1;112;BAR_01;SEC_112
1;113;BAR_01;SEC_113
3;114;BAR_03;SEC_114
3;115;BAR_03;SEC_115
2;116;BAR_02;SEC_116
3;117;BAR_03;SEC_117
2;118;BAR_02;SEC_118
3;119;BAR_03;SEC_119
3;120;BAR_03;SEC_120
3;121;BAR_03;SEC_121
3;122;BAR_03;SEC_122
1;123;BAR_01;SEC_123
1;124;BAR_01;SEC_124
3;125;BAR_03;SEC_125
3;126;BAR_03;SEC_126
3;127;BAR_03;SEC_127
1;128;BAR_01;SEC_128
2;129;BAR_02;SEC_129
1;130;BAR_01;SEC_130
1;131;BAR_01;SEC_131
2;132;BAR_02;SEC_132
1;133;BAR_01;SEC_133
1;134;BAR_01;SEC_134
1;135;BAR_01;SEC_135
3;136;BAR_03;SEC_136
3;137;BAR_03;SEC_137
3;138;BAR_03;SEC_138
3;139;BAR_03;SEC_139
3;140;BAR_03;SEC_140
1;141;BAR_01;SEC_141
5;201;BAR_05;SEC_201
5;202;BAR_05;SEC_202
5;203;BAR_05;SEC_203
5;204;BAR_05;SEC_204
5;205;BAR_05;SEC_205
5;206;BAR_05;SEC_206
5;207;BAR_05;SEC_207
5;208;BAR_05;SEC_208
5;209;BAR_05;SEC_209
5;210;BAR_05;SEC_210
4;211;BAR_04;SEC_211
5;212;BAR_05;SEC_212
5;213;BAR_05;SEC_213
5;214;BAR_05;SEC_214
5;215;BAR_05;SEC_215
5;216;BAR_05;SEC_216
4;217;BAR_04;SEC_217
4;218;BAR_04;SEC_218
5;219;BAR_05;SEC_219
5;220;BAR_05;SEC_220
5;221;BAR_05;SEC_221
5;222;BAR_05;SEC_222
5;223;BAR_05;SEC_223
5;224;BAR_05;SEC_224
5;225;BAR_05;SEC_225
5;226;BAR_05;SEC_226
5;227;BAR_05;SEC_227
4;228;BAR_04;SEC_228
4;229;BAR_04;SEC_229
4;230;BAR_04;SEC_230
4;231;BAR_04;SEC_231
4;232;BAR_04;SEC_232
4;233;BAR_04;SEC_233
4;234;BAR_04;SEC_234
