WKT,id,description,name,Superficie
"POLYGON Z ((2.101827 41.360323 0,2.101851 41.360328 0,2.101863 41.360345 0,2.101855 41.360363 0,2.101834 41.360372 0,2.10181 41.360368 0,2.101796 41.360349 0,2.101807 41.360329 0,2.101827 41.360323 0))","1026",,"Acollidora (rb.Just Oliveres - c.E.Prat de la Riba), parterre de l'","22"
"MULTIPOLYGON Z (((2.098934 41.359618 0,2.099011 41.35962 0,2.09901 41.359688 0,2.098931 41.359687 0,2.098934 41.359618 0)),((2.099423 41.359449 0,2.099501 41.359451 0,2.099499 41.359519 0,2.099421 41.359518 0,2.099423 41.359449 0)),((2.099198 41.359245 0,2.099391 41.359257 0,2.099264 41.359404 0,2.099148 41.359386 0,2.099198 41.359245 0)))","1018",,"Ajuntament, pl.de l'","318"
"POLYGON Z ((2.095289 41.359162 0,2.095353 41.359168 0,2.095404 41.359191 0,2.093962 41.361456 0,2.093934 41.361655 0,2.093921 41.361706 0,2.093875 41.361759 0,2.093818 41.361792 0,2.093727 41.361811 0,2.093643 41.361801 0,2.093576 41.36177 0,2.093527 41.361721 0,2.093501 41.361658 0,2.093509 41.361607 0,2.093551 41.361545 0,2.0936 41.361512 0,2.093905 41.361331 0,2.09399 41.361226 0,2.095276 41.359239 0,2.095289 41.359162 0))","1010",,"Álvarez de Castro (pl.Remunta - av.J.Tarradellas), mitjana i rotonda del c.d'","3604"
"POLYGON Z ((2.107422 41.353206 0,2.10735 41.353283 0,2.107231 41.353345 0,2.107042 41.353376 0,2.106863 41.353351 0,2.106711 41.353273 0,2.106612 41.353151 0,2.106585 41.35302 0,2.106635 41.352883 0,2.106725 41.352791 0,2.10682 41.352764 0,2.107422 41.353206 0))","6039",,"Amalvigia, pl.","2845"
"POLYGON Z ((2.105878 41.361572 0,2.106032 41.361582 0,2.105955 41.361782 0,2.1058 41.361775 0,2.105878 41.361572 0))","1029",,"Barcelona (c.Girona - av.Isabel la Catòlica), parterres i jardineres del c.de","295"
"POLYGON Z ((2.102019 41.358014 0,2.102445 41.358158 0,2.10236 41.358303 0,2.102289 41.358417 0,2.102171 41.358597 0,2.101746 41.358459 0,2.102019 41.358014 0))",E004,,Ca n'Arús (rb.Marina-av.Carrilet),"2121"
"POLYGON Z ((2.096894 41.361138 0,2.097085 41.36122 0,2.097086 41.361255 0,2.09706 41.36132 0,2.096973 41.361434 0,2.096737 41.361353 0,2.096894 41.361138 0))",E005,,Can Riera (Riera de l'Escorxador),"559"
"POLYGON Z ((2.096283 41.359714 0,2.097165 41.359952 0,2.09715 41.359981 0,2.097232 41.360035 0,2.097189 41.36013 0,2.097238 41.360146 0,2.096993 41.360638 0,2.096901 41.360759 0,2.096526 41.360647 0,2.09658 41.360496 0,2.09618 41.360373 0,2.096209 41.359753 0,2.096283 41.359714 0))","1013",,"Can Sumarro, jardins de","6762"
"POLYGON Z ((2.095016 41.358999 0,2.095087 41.359022 0,2.095165 41.359066 0,2.095197 41.359127 0,2.095206 41.35918 0,2.094898 41.35965 0,2.094888 41.35967 0,2.094534 41.36024 0,2.09439 41.360195 0,2.094362 41.360204 0,2.094264 41.360352 0,2.094146 41.360309 0,2.093909 41.360684 0,2.093657 41.360966 0,2.093492 41.361208 0,2.093434 41.361219 0,2.093294 41.361423 0,2.092788 41.361292 0,2.093228 41.36085 0,2.09329 41.360788 0,2.093412 41.360666 0,2.093519 41.360557 0,2.093576 41.360501 0,2.093804 41.360271 0,2.093862 41.360213 0,2.093892 41.360183 0,2.094089 41.359995 0,2.094077 41.359988 0,2.09446 41.359615 0,2.094472 41.359619 0,2.094591 41.359655 0,2.094628 41.35957 0,2.094635 41.35956 0,2.095016 41.358999 0))","1012",,"Canal de la Infanta, jardins del","10370"
"POLYGON Z ((2.107389 41.359507 0,2.107444 41.359515 0,2.107496 41.359541 0,2.107529 41.359581 0,2.107537 41.359623 0,2.107525 41.359662 0,2.107357 41.359605 0,2.107291 41.359704 0,2.10725 41.359652 0,2.107244 41.359606 0,2.107258 41.359569 0,2.107288 41.359538 0,2.107337 41.359514 0,2.107389 41.359507 0))","1076",,"Carrilet - av.Fabregada, rotonda de l'av.del","305"
