WKT;id;description;name;Superficie;idDistricte;NomDistricte;idBarri;NomBarri
POLYGON Z ((2.107056 41.352696 0,2.107231 41.352727 0,2.107364 41.352801 0,2.107468 41.352932 0,2.107488 41.353071 0,2.107445 41.353185 0,2.107408 41.353204 0,2.106798 41.352745 0,2.106902 41.352712 0,2.107056 41.352696 0));6039;;Amalvigia, pl.;1549;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.114114 41.349809 0,2.114479 41.349896 0,2.114495 41.350155 0,2.114406 41.350194 0,2.113992 41.350089 0,2.114114 41.349809 0));6101;;Amèrica (costat de l'escola E.Ossó), av.d';1243;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.115216 41.353951 0,2.115264 41.353951 0,2.115466 41.355774 0,2.115378 41.355776 0,2.11521 41.354004 0,2.115216 41.353951 0));6102;;Amèrica (lateral RENFE entre av.d'Amèrica 121 i c.Campoamor), av.d';1245;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.114627 41.349493 0,2.11468 41.349783 0,2.114798 41.349777 0,2.114814 41.349669 0,2.114901 41.349661 0,2.115062 41.35162 0,2.115245 41.353734 0,2.115089 41.353991 0,2.115264 41.355792 0,2.115152 41.355791 0,2.114964 41.353881 0,2.114929 41.353779 0,2.114873 41.353754 0,2.114787 41.353751 0,2.114701 41.353765 0,2.114617 41.353814 0,2.114576 41.353793 0,2.114673 41.353571 0,2.114779 41.35352 0,2.114801 41.353397 0,2.114832 41.353257 0,2.114833 41.353169 0,2.114816 41.352953 0,2.114802 41.35279 0,2.114748 41.35222 0,2.114773 41.352107 0,2.114761 41.351993 0,2.114687 41.351266 0,2.114621 41.3503 0,2.11456 41.349666 0,2.114508 41.349496 0,2.114627 41.349493 0));6097;;Amèrica (mitjana i parterres laterals), av.d';16241;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.113383 41.350013 0,2.114528 41.350292 0,2.114544 41.350507 0,2.11449 41.350529 0,2.114375 41.350503 0,2.11443 41.350381 0,2.113338 41.350111 0,2.113383 41.350013 0));6100;;Amèrica 11-21 (zona posterior del bloc), av.d';1374;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.113845 41.35042 0,2.114541 41.350594 0,2.114586 41.351013 0,2.1142 41.350911 0,2.114249 41.35079 0,2.113128 41.350527 0,2.11317 41.350435 0,2.113778 41.350577 0,2.113845 41.35042 0));6099;;Amèrica 41-51 (zona posterior del bloc), av.d';2951;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.114682 41.35231 0,2.114707 41.352328 0,2.114754 41.35284 0,2.114743 41.352853 0,2.114713 41.35286 0,2.114402 41.352774 0,2.114625 41.352315 0,2.114682 41.35231 0));6098;;Amèrica 91-101 (costat de l'Institut Bellvitge), av.d';1064;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.112592 41.353056 0,2.113368 41.353254 0,2.112632 41.354781 0,2.112793 41.354823 0,2.112719 41.354999 0,2.112099 41.354837 0,2.112399 41.354195 0,2.111035 41.353842 0,2.111193 41.353483 0,2.11227 41.35375 0,2.112592 41.353056 0));6078;;Bellvitge, passeig de;15847;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.115421 41.355871 0,2.115472 41.356216 0,2.115422 41.356244 0,2.115389 41.356292 0,2.115352 41.356395 0,2.115106 41.356672 0,2.115071 41.356428 0,2.114968 41.356417 0,2.115049 41.356295 0,2.115192 41.356061 0,2.115421 41.355871 0));6159;;Campoamor, talús del c.de;1657;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.115215 41.357861 0,2.115406 41.35798 0,2.115412 41.358176 0,2.115366 41.358354 0,2.115244 41.358543 0,2.115084 41.358688 0,2.114925 41.358795 0,2.114488 41.358468 0,2.115215 41.357861 0));6216;;Caterina Albert amb ctra. del Mig, zona enjardinada del c.de;4223;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.113505 41.350933 0,2.113798 41.351032 0,2.11382 41.351436 0,2.11431 41.351522 0,2.114533 41.351648 0,2.114613 41.351928 0,2.113519 41.351677 0,2.11346 41.351705 0,2.11273 41.351534 0,2.112819 41.351355 0,2.113016 41.351408 0,2.113146 41.351095 0,2.112959 41.351013 0,2.112997 41.350937 0,2.113505 41.350933 0));6155;;Cultura, pl. de la / Amèrica 71-81 (entre els blocs 71-81 i 41-51), av.d';7801;DIS_6;Districte VI;BAR_12;Bellvitge
MULTIPOLYGON Z (((2.108902 41.349065 0,2.108949 41.349089 0,2.108966 41.349118 0,2.108946 41.349161 0,2.1089 41.349266 0,2.108875 41.349346 0,2.108876 41.349453 0,2.108792 41.349464 0,2.108763 41.349442 0,2.108764 41.349425 0,2.108902 41.349065 0)),((2.107897 41.348893 0,2.108085 41.34894 0,2.108431 41.34902 0,2.108261 41.349406 0,2.107729 41.349273 0,2.107766 41.349187 0,2.107809 41.349092 0,2.107897 41.348893 0)));6027;;Ermita de Bellvitge (voltants de l'església), c.de l';2393;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.109649 41.347674 0,2.110599 41.347913 0,2.110603 41.34792 0,2.110594 41.347942 0,2.109634 41.34771 0,2.109649 41.347674 0));6021;;Ermita de Bellvitge 10-18 (zona posterior del bloc), c.de l';311;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.108435 41.347626 0,2.108845 41.34768 0,2.108991 41.347688 0,2.109024 41.347706 0,2.109096 41.347764 0,2.109314 41.347808 0,2.109347 41.34784 0,2.109359 41.347908 0,2.109009 41.347816 0,2.108416 41.347674 0,2.108435 41.347626 0));6022;;Ermita de Bellvitge 11-19 (zona posterior del bloc), c.de l';731;DIS_6;Districte VI;BAR_12;Bellvitge
