WKT;Name;description;timestamp;begin;end;altitudeMode;tessellate;extrude;visibility;drawOrder;icon;osm_id;building;building:material;access:roof;addr:street;addr:housenumber;roof:material;Superficie;idDistricte;NomDistricte;idBarri;NomBarri
MULTIPOLYGON (((2.1148514 41.3666855,2.1150562 41.366471,2.1152388 41.3665725,2.1152589 41.3665519,2.115386 41.3666269,2.1154135 41.3665996,2.1155266 41.3666618,2.1154827 41.3667069,2.1158146 41.3668904,2.1158424 41.3669057,2.1158865 41.3668631,2.116019 41.3669357,2.1159152 41.3670441,2.115893 41.3670673,2.1157692 41.3671966,2.1156052 41.3671066,2.1156102 41.3671015,2.1148514 41.3666855)));Biblioteca Tecla Sala;;;;;;-1;0;-1;;;82863031;yes;;;Avinguda de Josep Tarradellas i Joan;44;;2986;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1089771 41.3645661,2.1094599 41.364564,2.1094626 41.3646285,2.1093741 41.3646305,2.1093741 41.3646909,2.1094599 41.3646909,2.1094599 41.3647492,2.1089771 41.3647492,2.1089771 41.3646889,2.1090683 41.3646868,2.1090683 41.3646244,2.1089798 41.3646244,2.1089771 41.3645661)));;;;;;;-1;0;-1;;;83199997;yes;;;;;;724;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1104309 41.3651398,2.1106213 41.3647875,2.1107394 41.3648237,2.1107099 41.3648841,2.110742 41.3648922,2.110774 41.3648333,2.110903 41.364872,2.1108202 41.3650231,2.1107555 41.3650029,2.1107179 41.3650713,2.1107796 41.3650895,2.1107099 41.3652243,2.1105918 41.3651881,2.1106267 41.3651237,2.1105865 41.3651096,2.1105543 41.365176,2.1104309 41.3651398)));;;;;;;-1;0;-1;;;83200002;yes;;;;;;967;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1046105 41.3644433,2.1046212 41.3644291,2.104644 41.364399,2.104663 41.3643739,2.1047232 41.3642943,2.1059516 41.36487,2.1058336 41.3650069,2.1046105 41.3644433)));;;;;;;-1;0;-1;;;83229391;yes;;;;;;2239;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1072334 41.3600278,2.1073193 41.3598969,2.1073649 41.359915,2.1073917 41.3598808,2.1078262 41.3600379,2.1076975 41.360215,2.1074952 41.3601334,2.1072334 41.3600278)));;;;;;;-1;0;-1;;;185753776;apartments;;;;;;934;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1168653 41.3673152,2.1169503 41.3672795,2.1178736 41.3678019,2.1178558 41.3678226,2.1169701 41.3678493,2.1169285 41.3678345,2.1169305 41.367701,2.1168692 41.3676935,2.1168653 41.3673152)));;;;;;;-1;0;-1;;;281280554;yes;;;;;;2867;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1168724 41.3671593,2.1168752 41.366906,2.1168764 41.3667925,2.1169579 41.3667558,2.1174431 41.3670174,2.1174529 41.3670589,2.1172528 41.3673122,2.1171848 41.3673329,2.1168724 41.3671593)));;;;;;;-1;0;-1;;;281280556;yes;;;;;;1943;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1173311 41.3673596,2.1175268 41.3671236,2.1176197 41.3671058,2.1181179 41.3674225,2.1180819 41.3674896,2.1180734 41.3675055,2.1180479 41.3675761,2.118067 41.3676536,2.1180757 41.3676998,2.1180613 41.367796,2.1173449 41.3674174,2.1173311 41.3673596)));;;;;;;-1;0;-1;;;281281538;yes;;;;;;2584;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1135907 41.3660145,2.1136202 41.3659561,2.1137731 41.3658977,2.1138536 41.3659158,2.1139287 41.3660386,2.1136685 41.3661312,2.1135907 41.3660145)));Saras;;;;;;-1;0;-1;;;382393598;yes;;;Avinguda de Josep Tarradellas i Joan;76;;452;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1066047 41.3615323,2.1068364 41.3615105,2.1066434 41.3617789,2.1066047 41.3615323)));;;;;;;-1;0;-1;;;543069870;apartments;;;Plaça del Mestre Clavé;2-4;;269;DIS_1;Districte I;BAR_03;Sant Josep
