WKT;Name;description;timestamp;begin;end;altitudeMode;tessellate;extrude;visibility;drawOrder;icon;osm_id;addr:housenumber;building;building:material;roof:material;addr:street;access:roof;Superficie;idDistricte;NomDistricte;idBarri;NomBarri
MULTIPOLYGON (((2.0984725 41.3642424,2.0985122 41.3641395,2.0986033 41.3640106,2.0990438 41.3641076,2.0990218 41.3641355,2.0994783 41.3642163,2.0993979 41.364417,2.098828 41.3643132,2.0988501 41.364224,2.0986656 41.3641941,2.0986355 41.3642723,2.0984725 41.3642424)));;;;;;;-1;0;-1;;;244847528;;yes;;;;;1831;DIS_5;Districte V;BAR_09;Can Serra
MULTIPOLYGON (((2.1008358 41.3647752,2.1009061 41.3646357,2.100993 41.3646604,2.1009678 41.3647105,2.1010423 41.3647316,2.1010692 41.3646781,2.1011619 41.3647044,2.1010897 41.3648477,2.1010014 41.3648226,2.1010301 41.3647657,2.1009515 41.3647434,2.1009231 41.3648,2.1008358 41.3647752)));;;;;;;-1;0;-1;;;517254719;;apartments;;;;;293;DIS_5;Districte V;BAR_09;Can Serra
MULTIPOLYGON (((2.1007713 41.3649039,2.1008358 41.3647752,2.1009231 41.3648,2.1008993 41.3648461,2.1009782 41.3648697,2.1010014 41.3648226,2.1010897 41.3648477,2.1010239 41.3649766,2.1009287 41.364949,2.1009503 41.3649085,2.1008839 41.3648892,2.1008625 41.3649303,2.1007713 41.3649039)));;;;;;;-1;0;-1;;;517254720;;apartments;;;;;279;DIS_5;Districte V;BAR_09;Can Serra
MULTIPOLYGON (((2.100701 41.3650427,2.1007713 41.3649039,2.1008625 41.3649303,2.1008374 41.3649791,2.1009034 41.3649982,2.1009287 41.364949,2.1010239 41.3649766,2.1009549 41.3651122,2.1008643 41.3650868,2.1008868 41.3650424,2.1008173 41.3650223,2.1007935 41.3650687,2.100701 41.3650427)));;;;;;;-1;0;-1;;;517254721;;apartments;;;;;301;DIS_5;Districte V;BAR_09;Can Serra
MULTIPOLYGON (((2.1006305 41.3651842,2.100701 41.3650427,2.1007935 41.3650687,2.1007696 41.3651166,2.1008397 41.3651363,2.1008643 41.3650868,2.1009549 41.3651122,2.1008809 41.3652607,2.1007872 41.3652344,2.1008156 41.3651773,2.1007467 41.365158,2.100721 41.3652096,2.1006305 41.3651842)));;;;;;;-1;0;-1;;;517254722;;apartments;;;;;313;DIS_5;Districte V;BAR_09;Can Serra
MULTIPOLYGON (((2.1015679 41.3654935,2.1016136 41.3654357,2.1017712 41.3655059,2.1017238 41.3655657,2.1016638 41.365539,2.101646 41.3655616,2.1016167 41.3655486,2.1016361 41.365524,2.1015679 41.3654935)));;;;;;;-1;0;-1;;;517255502;;yes;;;;;125;DIS_5;Districte V;BAR_09;Can Serra
MULTIPOLYGON (((2.1017238 41.3655657,2.1017712 41.3655059,2.1019425 41.3655836,2.101893 41.3656436,2.1018266 41.3656128,2.1018067 41.3656368,2.1017779 41.3656234,2.1017971 41.3656001,2.1017238 41.3655657)));;;;;;;-1;0;-1;;;517255503;;yes;;;;;139;DIS_5;Districte V;BAR_09;Can Serra
MULTIPOLYGON (((2.101893 41.3656436,2.1019425 41.3655836,2.1021186 41.3656621,2.1020676 41.3657235,2.1019912 41.3656883,2.1019697 41.3657129,2.1019389 41.3656973,2.1019597 41.3656737,2.101893 41.3656436)));;;;;;;-1;0;-1;;;517255504;;yes;;;;;146;DIS_5;Districte V;BAR_09;Can Serra
MULTIPOLYGON (((2.1020676 41.3657235,2.1021186 41.3656621,2.1022766 41.365732,2.1022239 41.365796,2.1021527 41.3657644,2.1021334 41.3657876,2.1021013 41.3657723,2.1021212 41.3657482,2.1020676 41.3657235)));;;;;;;-1;0;-1;;;517255505;;yes;;;;;136;DIS_5;Districte V;BAR_09;Can Serra
MULTIPOLYGON (((2.1022522 41.3658023,2.1023049 41.3657418,2.1024687 41.3658232,2.1024152 41.3658835,2.1023508 41.3658522,2.102332 41.3658737,2.102303 41.3658595,2.1023227 41.3658369,2.1022522 41.3658023)));;;;;;;-1;0;-1;;;517255506;;yes;;;;;140;DIS_5;Districte V;BAR_09;Can Serra
MULTIPOLYGON (((2.1024152 41.3658835,2.1024687 41.3658232,2.102625 41.365901,2.1025707 41.3659612,2.1025079 41.3659289,2.1024874 41.365952,2.1024591 41.3659379,2.102479 41.3659154,2.1024152 41.3658835)));;;;;;;-1;0;-1;;;517255507;;yes;;;;;134;DIS_5;Districte V;BAR_09;Can Serra
MULTIPOLYGON (((2.1025707 41.3659612,2.102625 41.365901,2.1027769 41.3659781,2.1027235 41.3660373,2.1026681 41.3660092,2.102647 41.3660327,2.1026188 41.3660184,2.1026391 41.3659959,2.1025707 41.3659612)));;;;;;;-1;0;-1;;;517255508;;yes;;;;;132;DIS_5;Districte V;BAR_09;Can Serra
MULTIPOLYGON (((2.1027578 41.3661654,2.1028758 41.366023,2.1029729 41.3660687,2.1029484 41.3660981,2.1029732 41.3661097,2.1029665 41.3661177,2.1029931 41.3661302,2.1029981 41.3661242,2.103017 41.3661331,2.1030392 41.3661066,2.1031245 41.3661467,2.1030118 41.3662788,2.1029216 41.3662354,2.1029482 41.3662031,2.1028935 41.3661774,2.1028613 41.3662144,2.1027578 41.3661654)));;;;;;;-1;0;-1;;;517256150;;yes;;;;;395;DIS_5;Districte V;BAR_09;Can Serra
MULTIPOLYGON (((2.1026592 41.3662807,2.1027578 41.3661654,2.1028613 41.3662144,2.1028448 41.3662341,2.1029005 41.3662605,2.1029216 41.3662354,2.1030118 41.3662788,2.1029064 41.3663962,2.1028276 41.366358,2.1028594 41.3663179,2.1027858 41.3662831,2.1027507 41.3663251,2.1026592 41.3662807)));;;;;;;-1;0;-1;;;517256151;;yes;;;;;324;DIS_5;Districte V;BAR_09;Can Serra
MULTIPOLYGON (((2.1025496 41.3664081,2.1026592 41.3662807,2.1027507 41.3663251,2.1027279 41.3663516,2.1028021 41.3663876,2.1028276 41.366358,2.1029064 41.3663962,2.1027979 41.3665223,2.1027068 41.3664781,2.1027423 41.3664369,2.1026794 41.3664063,2.1026401 41.366452,2.1025496 41.3664081)));;;;;;;-1;0;-1;;;517256152;;yes;;;;;344;DIS_5;Districte V;BAR_09;Can Serra
MULTIPOLYGON (((2.09797163571546 41.3683638808893,2.09884902470078 41.3685738942103,2.0989846 41.368591,2.0990221 41.3684332,2.0988707 41.3684117,2.0988716 41.3684071,2.0983868 41.3683648,2.0983542 41.3683621,2.0983006 41.3683575,2.0982172 41.3683504,2.0982228 41.3683102,2.0979787 41.3683012,2.09797163571546 41.3683638808893)));;;;;;;-1;0;-1;;;544177009;;residential;;;;;1144;DIS_5;Districte V;BAR_09;Can Serra
MULTIPOLYGON (((2.0979397 41.3680258,2.0979708 41.3678789,2.0983575 41.3678492,2.0992933 41.3679097,2.0992578 41.3681373,2.0991416 41.3681955,2.0980026 41.3681398,2.0979397 41.3680258)));;;;;;;-1;0;-1;;;544177010;;residential;;;;;3561;DIS_5;Districte V;BAR_09;Can Serra
MULTIPOLYGON (((2.0987385 41.3677399,2.0989706 41.3670936,2.099061 41.367096,2.0991965 41.3675368,2.0992449 41.3675828,2.0992062 41.3677983,2.0991109 41.3678583,2.098806 41.3678056,2.0987385 41.3677399)));;;;;;;-1;0;-1;;;544177011;;residential;;;;;2195;DIS_5;Districte V;BAR_09;Can Serra
MULTIPOLYGON (((2.0984124 41.3677741,2.0987221 41.3667061,2.0988093 41.3666601,2.0989222 41.3666843,2.0989674 41.3667279,2.0986802 41.3677571,2.0986203 41.3678273,2.0984124 41.3677741)));;;;;;;-1;0;-1;;;544177012;;residential;;;;;2668;DIS_5;Districte V;BAR_09;Can Serra
MULTIPOLYGON (((2.09938313441473 41.3686774487109,2.09940834695587 41.3686798343131,2.0993835 41.3686769,2.09938313441473 41.3686774487109)));;;;;;;-1;0;-1;;;544177013;;residential;;;;;0;DIS_5;Districte V;BAR_09;Can Serra
MULTIPOLYGON (((2.0993026 41.3685421,2.099434 41.3679189,2.0999865 41.3678099,2.1002585 41.3679323,2.1000819 41.3681533,2.0997857 41.3680039,2.0996967 41.3681394,2.0999833 41.3682684,2.0998091 41.3684864,2.099612 41.3683978,2.0995866 41.3684295,2.0994455 41.3684128,2.0994154 41.3685555,2.0993026 41.3685421)));;;;;;;-1;0;-1;;;556474153;;residential;;;;;3324;DIS_5;Districte V;BAR_09;Can Serra
MULTIPOLYGON (((2.0999859 41.3684542,2.1001555 41.3682308,2.1001403 41.3682243,2.1001704 41.3681847,2.1001836 41.3681873,2.1002506 41.3681033,2.1004514 41.3681936,2.1005162 41.3681125,2.1003139 41.3680215,2.1003503 41.3679758,2.1007244 41.368144,2.1007332 41.3681928,2.1004653 41.3685344,2.1004119 41.3685577,2.1003838 41.3685591,2.1000267 41.368514,2.1000024 41.368503,2.0999898 41.3684907,2.0999859 41.3684542)));;;;;;;-1;0;-1;;;556474154;;residential;;;;;2150;DIS_5;Districte V;BAR_09;Can Serra
MULTIPOLYGON (((2.1004752 41.3686805,2.1006517 41.3684765,2.1006484 41.3684626,2.1006724 41.368432,2.1006893 41.3684394,2.1007309 41.3683863,2.1007158 41.3683797,2.1007418 41.3683464,2.1007622 41.3683554,2.1007937 41.3683153,2.1007842 41.368311,2.1008642 41.3682095,2.1011841 41.3683513,2.101174 41.3683641,2.10121 41.36838,2.1012168 41.3683714,2.1012334 41.3683788,2.1012435 41.3684275,2.1010173 41.3687248,2.100957 41.3687385,2.1008935 41.3687287,2.1009762 41.368627,2.1008927 41.3685897,2.1009994 41.3684593,2.1010366 41.3684763,2.1010538 41.3684552,2.1009278 41.3683976,2.1009126 41.3684162,2.1009254 41.3684221,2.1008553 41.3685082,2.1008951 41.3685265,2.1008574 41.3685727,2.1007646 41.3685301,2.1007364 41.3685648,2.1008303 41.3686079,2.1008581 41.3685738,2.1009167 41.3686008,2.1008179 41.3687217,2.1004752 41.3686805)));;;;;;;-1;0;-1;;;556474155;;residential;;;;;1864;DIS_5;Districte V;BAR_09;Can Serra
MULTIPOLYGON (((2.100041 41.3677543,2.1001393 41.3676468,2.1002077 41.3676299,2.1003622 41.3675084,2.1003931 41.3674079,2.1006282 41.3674873,2.100336 41.3678345,2.1002423 41.3678485,2.100041 41.3677543)));;;;;;;-1;0;-1;;;556479463;;residential;;;;;1054;DIS_5;Districte V;BAR_09;Can Serra
MULTIPOLYGON (((2.1009441 41.3681131,2.1013215 41.3676498,2.1014037 41.367638,2.1017214 41.3677902,2.1017405 41.367851,2.101362 41.3683076,2.1012787 41.3683211,2.1009643 41.3681841,2.1009441 41.3681131)));;;;;;;-1;0;-1;;;556479466;;residential;;;;;2852;DIS_5;Districte V;BAR_09;Can Serra
